'id_car_model','id_car_mark','name','name_rus','id_car_type'
'101','10','RS 4',NULL,'1'
'102','10','RS 5',NULL,'1'
'103','10','RS 6',NULL,'1'
'104','10','RS 7',NULL,'1'
'105','10','S1',NULL,'1'
'106','10','S2',NULL,'1'
'107','10','S3',NULL,'1'
'108','10','S4',NULL,'1'
'109','10','S5',NULL,'1'
'110','10','S6',NULL,'1'
'111','10','S7',NULL,'1'
'112','10','S8',NULL,'1'
'113','10','SQ5',NULL,'1'
'114','10','TT',NULL,'1'
'115','10','V8 (D11)',NULL,'1'
'122','11','Montego',NULL,'1'
'126','14','BJ 2020',NULL,'1'
'128','15','Arnage',NULL,'1'
'129','15','Azure',NULL,'1'
'130','15','Brooklands',NULL,'1'
'131','15','Continental',NULL,'1'
'132','15','Continental Flying Spur',NULL,'1'
'133','15','Continental GT',NULL,'1'
'135','15','Flying Spur',NULL,'1'
'136','15','Mulsanne',NULL,'1'
'137','15','Turbo R',NULL,'1'
'150','18','i3',NULL,'1'
'151','18','i8',NULL,'1'
'152','18','X1',NULL,'1'
'153','18','X3',NULL,'1'
'154','18','X4',NULL,'1'
'155','18','X5',NULL,'1'
'156','18','X6',NULL,'1'
'157','18','Z1',NULL,'1'
'158','18','Z3',NULL,'1'
'159','18','Z4',NULL,'1'
'160','18','Z8',NULL,'1'
'172','21','BS2',NULL,'1'
'173','21','M1',NULL,'1'
'174','21','BS4',NULL,'1'
'175','21','M3',NULL,'1'
'176','21','V5',NULL,'1'
'177','22','Blenheim',NULL,'1'
'178','22','Speedster',NULL,'1'
'179','22','Fighter',NULL,'1'
'182','24','EB 110',NULL,'1'
'183','24','EB 112',NULL,'1'
'185','25','Century',NULL,'1'
'187','25','Enclave',NULL,'1'
'188','25','Excelle',NULL,'1'
'189','25','GL8',NULL,'1'
'190','25','LaCrosse',NULL,'1'
'191','25','LE Sabre',NULL,'1'
'192','25','Lucerne',NULL,'1'
'193','25','Park Avenue',NULL,'1'
'195','25','Reatta',NULL,'1'
'196','25','Regal',NULL,'1'
'197','25','Rendezvous',NULL,'1'
'198','25','Riviera',NULL,'1'
'199','25','Roadmaster',NULL,'1'
'200','25','Skylark',NULL,'1'
'201','25','Terraza',NULL,'1'
'203','26','F0',NULL,'1'
'204','26','F3',NULL,'1'
'205','26','F6',NULL,'1'
'206','26','F8',NULL,'1'
'207','26','Flyer',NULL,'1'
'212','26','S6',NULL,'1'
'215','28','Allante',NULL,'1'
'216','28','ATS',NULL,'1'
'217','28','BLS',NULL,'1'
'218','28','Brougham',NULL,'1'
'219','28','Catera',NULL,'1'
'220','28','CTS',NULL,'1'
'221','28','De Ville',NULL,'1'
'222','28','DTS',NULL,'1'
'223','28','Eldorado',NULL,'1'
'224','28','Escalade',NULL,'1'
'227','28','Seville',NULL,'1'
'229','28','SRX',NULL,'1'
'230','28','STS',NULL,'1'
'231','28','XLR',NULL,'1'
'233','29','C12',NULL,'1'
'234','30','FX4S',NULL,'1'
'235','31','21',NULL,'1'
'239','32','CS35',NULL,'1'
'240','32','Eado',NULL,'1'
'241','32','Raeton',NULL,'1'
'244','33','Flying',NULL,'1'
'247','34','Amulet',NULL,'1'
'248','34','Bonus',NULL,'1'
'249','34','CrossEastar',NULL,'1'
'250','34','Fora',NULL,'1'
'251','34','IndiS',NULL,'1'
'252','34','Kimo',NULL,'1'
'254','34','QQ6',NULL,'1'
'255','34','QQ',NULL,'1'
'256','34','Tiggo',NULL,'1'
'257','34','Very',NULL,'1'
'258','35','Alero',NULL,'1'
'259','35','Astra',NULL,'1'
'260','35','Astro',NULL,'1'
'261','35','Avalanche',NULL,'1'
'262','35','Aveo',NULL,'1'
'263','35','Beretta',NULL,'1'
'264','35','Blazer',NULL,'1'
'267','35','Camaro',NULL,'1'
'268','35','Caprice',NULL,'1'
'269','35','Captiva',NULL,'1'
'270','35','Cavalier',NULL,'1'
'271','35','Celebrity',NULL,'1'
'272','35','Celta',NULL,'1'
'273','35','Chevette',NULL,'1'
'274','35','Citation',NULL,'1'
'275','35','Classic',NULL,'1'
'276','35','Cobalt',NULL,'1'
'277','35','Colorado',NULL,'1'
'278','35','Corsa',NULL,'1'
'279','35','Corsica',NULL,'1'
'280','35','Corvette',NULL,'1'
'282','35','Cruze',NULL,'1'
'283','35','Epica',NULL,'1'
'284','35','Equinox',NULL,'1'
'285','35','Evanda',NULL,'1'
'286','35','Express',NULL,'1'
'287','35','HHR',NULL,'1'
'288','35','Impala',NULL,'1'
'289','35','Kalos',NULL,'1'
'290','35','Lacetti',NULL,'1'
'291','35','Lanos',NULL,'1'
'292','35','Lumina',NULL,'1'
'293','35','Lumina APV',NULL,'1'
'294','35','LUV D-MAX',NULL,'1'
'295','35','Malibu',NULL,'1'
'296','35','Metro',NULL,'1'
'297','35','Monte Carlo',NULL,'1'
'298','35','Monza',NULL,'1'
'299','35','MW',NULL,'1'
'300','35','Niva',NULL,'1'
'301','35','Nubira',NULL,'1'
'302','35','Omega',NULL,'1'
'303','35','Orlando',NULL,'1'
'304','35','Prizm',NULL,'1'
'305','35','Rezzo',NULL,'1'
'306','35','S-10',NULL,'1'
'307','35','Sail',NULL,'1'
'308','35','Sonic',NULL,'1'
'309','35','Spark',NULL,'1'
'310','35','SSR',NULL,'1'
'312','35','Suburban',NULL,'1'
'313','35','Tahoe',NULL,'1'
'314','35','Tavera',NULL,'1'
'315','35','Tracker',NULL,'1'
'316','35','TrailBlazer',NULL,'1'
'317','35','Trans Sport',NULL,'1'
'319','36','300C',NULL,'1'
'320','36','300M',NULL,'1'
'321','36','Aspen',NULL,'1'
'322','36','Cirrus',NULL,'1'
'323','36','Concorde',NULL,'1'
'324','36','Crossfire',NULL,'1'
'326','36','Fifth Avenue',NULL,'1'
'329','36','LeBaron',NULL,'1'
'330','36','LHS',NULL,'1'
'332','36','Neon',NULL,'1'
'333','36','New Yorker',NULL,'1'
'334','36','Pacifica',NULL,'1'
'335','36','Prowler',NULL,'1'
'336','36','PT Cruiser',NULL,'1'
'338','36','Sebring',NULL,'1'
'341','36','Town and Country',NULL,'1'
'343','36','Vision',NULL,'1'
'345','37','2 CV',NULL,'1'
'347','37','AX',NULL,'1'
'348','37','Berlingo',NULL,'1'
'349','37','BX',NULL,'1'
'350','37','C-Crosser',NULL,'1'
'351','37','C-Elysee',NULL,'1'
'352','37','C1',NULL,'1'
'353','37','C2',NULL,'1'
'354','37','C3',NULL,'1'
'355','37','C3 Picasso',NULL,'1'
'356','37','C4 AirCross',NULL,'1'
'358','37','C4',NULL,'1'
'359','37','C4 Picasso',NULL,'1'
'360','37','C5',NULL,'1'
'361','37','C6',NULL,'1'
'362','37','C8',NULL,'1'
'363','37','CX',NULL,'1'
'364','37','DS3',NULL,'1'
'365','37','DS4',NULL,'1'
'366','37','DS5',NULL,'1'
'368','37','Evasion',NULL,'1'
'371','37','Saxo',NULL,'1'
'373','37','Xantia',NULL,'1'
'374','37','XM',NULL,'1'
'375','37','Xsara',NULL,'1'
'376','37','Xsara Picasso',NULL,'1'
'377','37','ZX',NULL,'1'
'378','38','V16T',NULL,'1'
'379','39','T-Rex',NULL,'1'
'381','40','1310',NULL,'1'
'386','40','Logan',NULL,'1'
'387','40','Nova',NULL,'1'
'388','40','Sandero',NULL,'1'
'389','40','Solenza',NULL,'1'
'390','41','City Leading',NULL,'1'
'391','41','Shuttle',NULL,'1'
'392','41','Smoothing',NULL,'1'
'393','42','Arcadia',NULL,'1'
'394','42','Chairman',NULL,'1'
'395','42','Damas',NULL,'1'
'396','42','Espero',NULL,'1'
'397','42','Evanda',NULL,'1'
'398','42','G2X',NULL,'1'
'399','42','Gentra',NULL,'1'
'400','42','Kalos',NULL,'1'
'401','42','Korando',NULL,'1'
'402','42','Lacetti',NULL,'1'
'403','42','Lanos',NULL,'1'
'404','42','LeMans',NULL,'1'
'405','42','Leganza',NULL,'1'
'406','42','Magnus',NULL,'1'
'407','42','Matiz',NULL,'1'
'408','42','Musso',NULL,'1'
'409','42','Nexia',NULL,'1'
'410','42','Nubira',NULL,'1'
'411','42','Prince',NULL,'1'
'412','42','Racer',NULL,'1'
'413','42','Rezzo',NULL,'1'
'414','42','Tacuma',NULL,'1'
'415','42','Tico',NULL,'1'
'416','42','Tosca',NULL,'1'
'417','42','Winstorm',NULL,'1'
'420','44','Altis',NULL,'1'
'421','44','Applause',NULL,'1'
'422','44','Atrai',NULL,'1'
'423','44','Be-go',NULL,'1'
'424','44','Boon',NULL,'1'
'426','44','Charade',NULL,'1'
'429','44','Copen',NULL,'1'
'430','44','Cuore',NULL,'1'
'432','44','Esse',NULL,'1'
'433','44','Feroza',NULL,'1'
'434','44','Gran Move',NULL,'1'
'435','44','Leeza',NULL,'1'
'436','44','Materia',NULL,'1'
'437','44','MAX',NULL,'1'
'439','44','Mira',NULL,'1'
'440','44','Move',NULL,'1'
'441','44','Naked',NULL,'1'
'444','44','Rocky',NULL,'1'
'445','44','Sirion',NULL,'1'
'446','44','Sonica',NULL,'1'
'447','44','Storia',NULL,'1'
'449','44','Tanto',NULL,'1'
'450','44','Terios',NULL,'1'
'451','44','Trevis',NULL,'1'
'453','44','Xenia',NULL,'1'
'454','44','YRV',NULL,'1'
'462','46','Fun',NULL,'1'
'469','47','on-DO',NULL,'1'
'473','48','Bigua',NULL,'1'
'474','48','Guara',NULL,'1'
'475','48','Mangusta',NULL,'1'
'479','50','Antelope',NULL,'1'
'480','50','Aurora',NULL,'1'
'481','50','Cowboy',NULL,'1'
'482','50','Land Crown',NULL,'1'
'483','50','Plutus',NULL,'1'
'484','50','Saladin',NULL,'1'
'485','50','Shuttle',NULL,'1'
'488','51','Avenger',NULL,'1'
'489','51','Caliber',NULL,'1'
'490','51','Caravan',NULL,'1'
'491','51','Challenger',NULL,'1'
'492','51','Charger',NULL,'1'
'493','51','Dakota',NULL,'1'
'495','51','Daytona',NULL,'1'
'496','51','Durango',NULL,'1'
'499','51','Intrepid',NULL,'1'
'500','51','Journey',NULL,'1'
'501','51','Magnum',NULL,'1'
'502','51','Monaco',NULL,'1'
'503','51','Neon',NULL,'1'
'504','51','Nitro',NULL,'1'
'506','51','Ram',NULL,'1'
'507','51','Ramcharger',NULL,'1'
'508','51','Shadow',NULL,'1'
'509','51','Spirit',NULL,'1'
'510','51','Stealth',NULL,'1'
'511','51','Stratus',NULL,'1'
'512','51','Viper',NULL,'1'
'513','52','H30',NULL,'1'
'514','52','MPV',NULL,'1'
'515','52','Oting',NULL,'1'
'516','52','Rich',NULL,'1'
'518','53','Kondor',NULL,'1'
'519','53','Orion',NULL,'1'
'522','56','Premier',NULL,'1'
'523','56','Summit',NULL,'1'
'524','56','Talon',NULL,'1'
'525','56','Vision',NULL,'1'
'528','59','Audi A6',NULL,'1'
'529','59','Audi 100',NULL,'1'
'530','59','Besturn B50',NULL,'1'
'531','59','Besturn B70',NULL,'1'
'532','59','Volkswagen Bora',NULL,'1'
'533','59','Volkswagen City Golf',NULL,'1'
'534','59','Volkswagen Jetta',NULL,'1'
'535','59','Jinn',NULL,'1'
'536','59','Oley',NULL,'1'
'537','59','V2',NULL,'1'
'538','59','V5',NULL,'1'
'539','59','Vita',NULL,'1'
'542','60','348',NULL,'1'
'543','60','360',NULL,'1'
'546','60','456',NULL,'1'
'547','60','458',NULL,'1'
'551','60','550',NULL,'1'
